feedback_id,raw_text,has_multiple_points
74,"Scholarship Limitations:
Scholarships have too many restrictions for Thai students, and the Academic Award amount decreases every year. This is very disappointing, as many students rely on this financial support.
International Student Support:
Moving to a foreign country is already difficult. I hope the faculty can make us feel warm and safe by building a stronger community for international students.
Internship Support:
The faculty needs to provide much more support for internships. Jobs for international students are very rare and often pay less than positions for Thai students. I would like to see partnerships similar to those in the Engineering faculty to make finding internships easier.",Yes
75,"The current internship period of two months is considered insufficient for students to gain meaningful, hands-on experience. Within this limited timeframe, students often spend a large portion of the internship on onboarding, training, and adjustment, leaving little time to develop real professional skills or make substantial contributions. Extending the internship to four months or an entire semester—as practiced in other curricula—would allow students to gain deeper industry exposure, stronger practical skills, and better preparation for future employment.",No
76,"LNG class, AJ.Jarah making Line as a learning platform, I want it to be on Microsoft team as it's more professional. Also when she give us assignment it's not very clear as she always use line and has no recording",Yes
77,"Me personally don't have any issue, but my friends often have some issue regarding the slow process about documents",No
78,"The process is not standardized, slow response",No
79,The process this year is good and fast unlike previous years.,No
80,Sometime the process of approving document takes time.,No
81,"Immigration processes take a long time and have caused us to miss classes repeatedly. Is it possible to arrange group visa processing through the university or SIT directly? According to the regulations, we understand this is our responsibility, but additional support from the institution would be very helpful and reduce the impact on our studies.",No
82,The new Visa system that IA KMUTT recently adopted was such a big help.,No
83,We mostly have to go through IA and contact with them. I’ve never really talked to SIT about visa related stuff,No
84,"The process is slow but it’s not KMUTT fault I truly understand. But it really does make, at some point, the uni experience bad because of it",No
85,It's enough but could be better if all the staff could speak english so there's no misscommunication,No
86,More english speaking staff,No
87,More English spoken staff,No
88,"When contacting any staff faculty members of SIT, I will receive no responses on LINE and no further response or communication whatsoever on Teams making communication a very difficult issue especially regarding course information or emergency situations that require rapid communication.",No
89,"Most of the communication has to go through P'Nicky. SIT has hundred and hundred of students. Even if P'Nicky can handle the workload, surely there will be delay in terms of responsiveness.",No
90,"Sometimes, I do not know who to contact if I need a document. I do contact P' Nick but she might be too tied up with her work to respond to me. Sometimes, my messages are left on read.",No
91,"IA organizes activities much more frequently than SIT. Additionally, P'Nui's English communication skills are limited, which often makes communication difficult.",Yes
92,The newacis site can handling the traffic of registration period quite well. The same as when i need an inquiry of official documents -- the process is fast and efficient.,Yes
93,The service is provided well but it can be hard to communicate or know who exactly to contact for what. It also sometimes take quite long for some processes,Yes
94,IA (KMUTT) are really helpful and full of activities. Because of them I can feel like home,Yes
95,Social life for international students are so hard cause they can not communicate with other international students,No
96,"Since I'm from CS which originally english program, most of the mandatory activity is fine, is good. But there's a lot activities that held in thai that we, as international student would love to participate but because of it's not english-friendly we can't do anything even though we try to be active at univ",Yes
97,its hard integrating especially when a lot of the events are thai language oriented.,No
98,"Looking at the Internship opportunities, there are firm/company presentation from time to time. But they are mostly for Thai students. I love SIT Culture activities. But there are a lot of rooms for improvement.",Yes
99,It's quite good enough.,No
100,"There are too few activities for international students. Even though activities are not mandatory for activity hours, international students still want the opportunity to participate and meet new friends in SIT and KMUTT. This includes other university activities as well.",No
101,It improved alot over the years. I didnt even know SIT have a faculty sport day in my 1st and 2nd year. But in this 3rd year alot of the international students get to participate. Same goes for alot of other events which are now held billingual and open to international students.,No
102,"The SAMO activities, I can see it’s improving year by year",No
103,I want Lockers,No
104,"As i mention before, it would be better if there's SIT activities that held in english or international student program, also there's some announcement that we found it's pretty important that only written/announce in thai which make us feel behind and excluded most of the time.",Yes
105,Monitor on the sec floor are old :(,
106,"More events that is English focused, or as a main language. That allows the international to understand what the speaker is saying.",No
107,More communication channels for administrative tasks and more internship opportunities,No
108,It would be great if there are more staff like P' Nick since she is quite busy to respond to students' message in time of emergencies.,No
109,Some SIT staff can't speak english that well.,No
110,"Important academic and opportunity-related information does not always reach Burmese students (or other international students) in a timely or clear manner. For example, information about the Taiwan internship or related programs was not well communicated, while students from other international majors had already been preparing since the previous semester. This information gap creates inequality in access to opportunities and leaves students unsure about whom to contact for guidance or clarification.
I hope the SIT International Relations office can be more proactive in sharing information about exchange programs and overseas internships. The Faculty of Engineering and Science has its own International Affairs office, which is very active in regularly posting and announcing overseas opportunities. In comparison, SIT IR has been relatively quiet, and some students are not even aware that the office exists.
If workload or capacity is an issue, perhaps the university could consider hiring additional staff or involving student assistants to help with outreach and communication.",Yes
111,More staff that handle students problems that can speak English well,No
