feedback_id,raw_text,points_json,n_points,is_multi,gemini_points_json,gemini_n_points,has_multiple_points,fold
11,"Surely the job landscape has changed and been changing rapidly as AI growth and market is saturated right now. I don't know how curriculum needs to be changed but definitely, we need to do something about it and it's the truth. Let's talk about fundamental courses first, definitely courses like CSC102, 122 are mandatory for CS student to dive into the field so, all these fundamental courses are important meaning no change needed. But when it comes to infrastructure sides, we don't know much about it. Something like Dockers and Kubernetes. These are just an example. But at the end of the day, we should learn on our own since we are CS students and part of the process. I don't have the ultimate solution for this, but something needs to be done.","[""Surely the job landscape has changed and been changing rapidly as AI growth and the market is saturated right now. I don't know how the CS curriculum needs to be changed, but definitely, something needs to be done about the curriculum, and it's the truth. I don't have the ultimate solution for these curriculum changes, but something needs to be done."", ""Let's talk about fundamental courses first. Definitely, courses like CSC102 and CSC122 are mandatory for CS students to dive into the field, so all these fundamental courses are important, meaning no change is needed for the fundamental courses."", ""When it comes to infrastructure sides, we don't know much about it. Something like Dockers and Kubernetes. These are just an example. But at the end of the day, we should learn on our own since we are CS students and part of the process. I don't have the ultimate solution for this, but something needs to be done.""]",3,True,"[""Surely the job landscape has changed and been changing rapidly as AI growth and the market is saturated right now. I don't know how the CS curriculum needs to be changed, but definitely, something needs to be done about the curriculum, and it's the truth. I don't have the ultimate solution for these curriculum changes, but something needs to be done."", ""Let's talk about fundamental courses first. Definitely, courses like CSC102 and CSC122 are mandatory for CS students to dive into the field, so all these fundamental courses are important, meaning no change is needed for the fundamental courses."", ""When it comes to infrastructure sides, CS students don't know much about infrastructure tools (like Dockers and Kubernetes as examples). But at the end of the day, CS students should learn about infrastructure on their own since CS students are part of the process.""]",3,Yes,4
12,Big Data Analytic Course need to include hands-on experience to students,"[""The Big Data Analytic Course needs to include hands-on experience for students.""]",1,False,"[""The Big Data Analytic Course needs to include hands-on experience for students.""]",1,No,2
13,"As a 4th-year student from the old curriculum, in my perspective I’m judging based on (quality / attending one class session) and only on the knowledge gained in class, not outside the classroom. My opinions are as follows:

1. Some courses do not meet the needs of real-world work because they are outdated, such as CSC325, CSC340, and CSC319. In my view, these courses should teach more than just GUI development and restructuring. I think the content is quite old. To make Java more practically useful, it should involve building a full Desktop Application or doing a Big Data project instead.

2. Courses that should be hands-on ended up being mostly theoretical. For example, CSC220 was very disappointing for me in terms of learning networking. I believe this subject has huge potential for further development, but it felt like there was a lot of talk and not much substance. We pay almost 50,000 baht to sit in an old CB building without doing any concrete lab work, unlike other faculties that pay less but have proper networking workshops. Meanwhile, we just sit there, looking at each other, after paying tens of thousands more but receiving lower quality than other departments.

CSC325 was also disappointing. I believe this course still has potential and could offer much more. There was no project at all. Most of the time was spent grinding through SeedLab, documenting it, and then taking the final exam. In the end, there was no real continuation or application. I see this course as almost useful — it was just missing a focus on quality, as it emphasized quantity of work instead.

3. There was a gap in coding practice. During Years 1–2, it was the most stressful period, but also the most beneficial for me. However, in Years 3–4, I felt like coding almost completely disappeared. It became very theory-heavy, with not much hands-on practice. I understand that this might be due to the reasons mentioned in points 1 and 2. I also feel that this may have already been improved in the new curriculum. Overall, though, I found the learning experience enjoyable during my time here.","[""Some courses do not meet the needs of real-world work because they are outdated, such as CSC325, CSC340, and CSC319. In my view, these courses should teach more than just GUI development and restructuring. I think the content of these courses is quite old. To make Java more practically useful, it should involve building a full Desktop Application or doing a Big Data project instead."", ""Courses that should be hands-on ended up being mostly theoretical. For example, CSC220 was very disappointing for me in terms of learning networking. I believe networking has huge potential for further development, but CSC220 felt like there was a lot of talk and not much substance. We pay almost 50,000 baht to sit in an old CB building without doing any concrete lab work, unlike other faculties that pay less but have proper networking workshops. Meanwhile, we just sit there, looking at each other, after paying tens of thousands more but receiving lower quality than other departments. CSC325 was also disappointing. I believe CSC325 still has potential and could offer much more. There was no project at all. Most of the time was spent grinding through SeedLab, documenting it, and then taking the final exam. In the end, there was no real continuation or application. I see CSC325 as almost useful — it was just missing a focus on quality, as it emphasized quantity of work instead."", ""There was a gap in coding practice. During Years 1–2, the coding experience was the most stressful period, but also the most beneficial for me. However, in Years 3–4, I felt like coding almost completely disappeared. The curriculum became very theory-heavy, with not much hands-on practice. I understand that this decline in coding practice might be due to the outdated and theoretical nature of courses mentioned in points 1 and 2. I also feel that this decline may have already been improved in the new curriculum. Overall, though, I found the learning experience enjoyable during my time here.""]",3,True,"[""Some courses do not meet the needs of real-world work because they are outdated, such as CSC325, CSC340, and CSC319. In my view, these courses should teach more than just GUI development and restructuring. I think the content of these courses is quite old. To make Java more practically useful, it should involve building a full Desktop Application or doing a Big Data project instead."", ""Courses that should be hands-on ended up being mostly theoretical. For example, CSC220 was very disappointing for me in terms of learning networking. I believe networking has huge potential for further development, but CSC220 felt like there was a lot of talk and not much substance. We pay almost 50,000 baht to sit in an old CB building without doing any concrete lab work, unlike other faculties that pay less but have proper networking workshops. Meanwhile, we just sit there, looking at each other, after paying tens of thousands more but receiving lower quality than other departments. CSC325 was also disappointing. I believe CSC325 still has potential and could offer much more. There was no project at all. Most of the time was spent grinding through SeedLab, documenting it, and then taking the final exam. In the end, there was no real continuation or application. I see CSC325 as almost useful — it was just missing a focus on quality, as it emphasized quantity of work instead."", ""There was a gap in coding practice. During Years 1–2, the coding experience was the most stressful period, but also the most beneficial for me. However, in Years 3–4, I felt like coding almost completely disappeared. The curriculum became very theory-heavy, with not much hands-on practice. I understand that this decline in coding practice might be due to the outdated and theoretical nature of courses mentioned in points 1 and 2. I also feel that this decline may have already been improved in the new curriculum. Overall, though, I found the learning experience enjoyable during my time here.""]",3,Yes,2
14,"Language and General Education Courses (LNG and GEN): These courses are not useful and waste a lot of time. Students with very high IELTS scores still have to take basic language classes, which doesn't make sense. Additionally, the grading standards are unclear and difficult to verify.
Programming Courses: The instructors are skilled and knowledgeable, which is good. However, the courses focus too much on fundamentals and theory. The practical application is very limited. Students have to learn and adapt a lot on their own to be ready for internships.
Need for More Specialized Elective Courses: The curriculum should offer more specialized track options. For example, UX/UI in course 105 could be a full elective course, but currently it only covers basic concepts that cannot be applied in real work. We would like to see courses such as Game Development with Unity, Advanced Power BI for Data Science
Other industry-relevant specialized topics
Courses 100/101 (Coursera ), 301, and 302: These courses waste time and do not measure any real CS skills or abilities. I don't understand the purpose of having them except to take time away from more necessary work.","[""Language and General Education Courses (LNG and GEN) are not useful and waste a lot of time. Students with very high IELTS scores still have to take basic language classes, which doesn't make sense. Additionally, the grading standards for these courses are unclear and difficult to verify."", ""The instructors in Programming Courses are skilled and knowledgeable, which is good. However, Programming Courses focus too much on fundamentals and theory, and the practical application is very limited. Students have to learn and adapt a lot on their own to be ready for internships."", ""The curriculum should offer more specialized track options. For example, UX/UI in course 105 could be a full elective course, but currently UX/UI in course 105 only covers basic concepts that cannot be applied in real work. We would like to see courses such as Game Development with Unity, Advanced Power BI for Data Science, and other industry-relevant specialized topics."", ""Courses 100/101 (Coursera), 301, and 302 waste time and do not measure any real CS skills or abilities. I don't understand the purpose of having these courses except to take time away from more necessary work.""]",4,True,"[""Language and General Education Courses (LNG and GEN) are not useful and waste a lot of time. Students with very high IELTS scores still have to take basic language classes, which doesn't make sense. Additionally, the grading standards for these courses are unclear and difficult to verify."", ""The instructors in Programming Courses are skilled and knowledgeable, which is good. However, Programming Courses focus too much on fundamentals and theory, and the practical application is very limited. Students have to learn and adapt a lot on their own to be ready for internships."", ""The curriculum should offer more specialized track options. For example, UX/UI in course 105 could be a full elective course, but currently UX/UI in course 105 only covers basic concepts that cannot be applied in real work. We would like to see courses such as Game Development with Unity, Advanced Power BI for Data Science, and other industry-relevant specialized topics."", ""Courses 100/101 (Coursera), 301, and 302 waste time and do not measure any real CS skills or abilities. I don't understand the purpose of having these courses except to take time away from more necessary work.""]",4,Yes,3
15,"Most of the courses were quite helpful. To name a few:
CSC209 Data Structures: While the sessions occasionally ran longer than scheduled, the content and the instructor were excellent. The instructor explained concepts clearly with ample examples. Although class times were sometimes flexible due to his responsibilities as the Department Dean, the material remained highly practical and valuable.
CSC105 Web Application Development: Some students felt this course only covered the basics, but I personally appreciated the approach. It encourages ""learning how to learn."" Instead of just following instructions, we were pushed to think for ourselves. This is essential for developing the skills needed to form original ideas and manage our own projects.
Overall, I think a score of 4 is appropriate, as the quality of the class is great but there is still room for improvement.","[""For CSC209 Data Structures, the content and the instructor were excellent. The instructor explained concepts clearly with ample examples. While sessions occasionally ran longer than scheduled and class times were sometimes flexible due to the instructor's responsibilities as the Department Dean, the material remained highly practical and valuable."", ""Regarding CSC105 Web Application Development, some students felt the course only covered the basics, but I personally appreciated the course's approach. The CSC105 Web Application Development course encourages 'learning how to learn.' Instead of just following instructions, students were pushed to think for themselves, which is essential for developing the skills needed to form original ideas and manage our own projects."", ""Most of the courses were quite helpful. Overall, I think a score of 4 is appropriate for the courses, as the quality of the classes is great but there is still room for improvement.""]",3,True,"[""For CSC209 Data Structures, the content and the instructor were excellent. The instructor explained concepts clearly with ample examples. While sessions occasionally ran longer than scheduled and class times were sometimes flexible due to the instructor's responsibilities as the Department Dean, the material remained highly practical and valuable."", ""Regarding CSC105 Web Application Development, some students felt the course only covered the basics, but I personally appreciated the course's approach. The CSC105 Web Application Development course encourages 'learning how to learn.' Instead of just following instructions, students were pushed to think for themselves, which is essential for developing the skills needed to form original ideas and manage our own projects."", ""Overall, I think a score of 4 is appropriate for the courses, as the quality of the classes is great but there is still room for improvement.""]",3,Yes,3
16,"I feel like the curriculum right now is too data sci oriented but not in a way that we can adapt it in real life.
For example, the data sci course is too theory based. Not to mention that the content is overlaping with data visualization, big data, data mining. Why don't just combine some together so we can have more knowledge on one particular field within one semester and adapt it in our work field?","[""I feel like the curriculum right now is too data science-oriented but not in a way that we can adapt the data science knowledge in real life. For example, the data science course is too theory-based."", ""Not to mention that the content of the data science course is overlapping with data visualization, big data, and data mining. Why don't just combine some of these courses together so we can have more knowledge on one particular field within one semester and adapt that knowledge in our work field?""]",2,True,"[""I feel like the curriculum right now is too data science-oriented but not in a way that we can adapt the data science knowledge in real life. For example, the data science course is too theory-based."", ""Not to mention that the content of the data science course is overlapping with data visualization, big data, and data mining. Why don't just combine some of these courses together so we can have more knowledge on one particular field within one semester and adapt that knowledge in our work field?""]",2,Yes,2
17,All courses should adapt and focus more on projects. Also internship duration of 2 months during the summer seems abit too little and also the timing is abit off. Like having the entire last semester of 4th year to be an internship seems like a better way.,"[""All courses should adapt and focus more on projects."", ""The current internship duration of 2 months during the summer seems a bit too little, and the timing is a bit off. Like having the entire last semester of 4th year to be an internship seems like a better way.""]",2,True,"[""All courses should adapt and focus more on projects."", ""The current internship duration of 2 months during the summer seems a bit too little, and the timing is a bit off. Having the entire last semester of 4th year dedicated to an internship seems like a better way.""]",2,Yes,3
18,"I got really high English test score. I really don’t understand why, us as an international program students, have to learn such a basic English concept of an elementary school grader level? Not only it’s not useful it’s also waste of my time and energy to attend all those courses In Jarah course, I don’t understand why LINE is consistently used as the main communication channel for assignments, class materials, and important course details. LINE has limited message history accessibility and is not a professional or reliable platform for managing academic information.
Using LINE for quick reminders or minor announcements is acceptable. But relying on it for all course-related communication is excessive and problematic. The faculty already provides proper platforms such as Microsoft Teams and CSCMS, which are designed for structured communication, assignment posting, and long-term record keeping.
Because information is frequently shared only through LINE chats, important details are often missed or lost, leading to confusion among students. Assignments communicated verbally in class, through chat messages, or by asking students to take notes are subjective and lack clarity. As a result, many students are uncertain about task requirements, deadlines, and expectations.
Assignments and course materials should be consistently posted on Microsoft Teams or CSCMS in a clear, concrete, and centralized manner. This would significantly reduce misunderstandings and help students manage their work more effectively.","[""I got a really high English test score. I really don’t understand why, as international program students, we have to learn such basic English concepts of an elementary school grader level. The basic English courses are not useful and are a waste of my time and energy to attend."", ""In the Jarah course, I don’t understand why LINE is consistently used as the main communication channel for assignments, class materials, and important course details. LINE has limited message history accessibility and is not a professional or reliable platform for managing academic information. While using LINE for quick reminders or minor announcements is acceptable, relying on LINE for all course-related communication is excessive and problematic. The faculty already provides proper platforms such as Microsoft Teams and CSCMS, which are designed for structured communication, assignment posting, and long-term record keeping. Because information is frequently shared only through LINE chats, important details are often missed or lost, leading to confusion among students. Assignments communicated verbally in class, through chat messages, or by asking students to take notes are subjective and lack clarity, resulting in many students being uncertain about task requirements, deadlines, and expectations. Assignments and course materials should be consistently posted on Microsoft Teams or CSCMS in a clear, concrete, and centralized manner, which would significantly reduce misunderstandings and help students manage their work more effectively.""]",2,True,"[""I got a really high English test score. I really don’t understand why, as international program students, we have to learn such basic English concepts of an elementary school grader level. The basic English courses are not useful and are a waste of my time and energy to attend."", ""In the Jarah course, I don’t understand why LINE is consistently used as the main communication channel for assignments, class materials, and important course details. LINE has limited message history accessibility and is not a professional or reliable platform for managing academic information. While using LINE for quick reminders or minor announcements is acceptable, relying on LINE for all course-related communication is excessive and problematic. The faculty already provides proper platforms such as Microsoft Teams and CSCMS, which are designed for structured communication, assignment posting, and long-term record keeping. Because information is frequently shared only through LINE chats, important details are often missed or lost, leading to confusion among students. Assignments communicated verbally in class, through chat messages, or by asking students to take notes are subjective and lack clarity, resulting in many students being uncertain about task requirements, deadlines, and expectations. Assignments and course materials should be consistently posted on Microsoft Teams or CSCMS in a clear, concrete, and centralized manner, which would significantly reduce misunderstandings and help students manage their work more effectively.""]",2,Yes,3
19,"For me the curriculum is useful as fundamental knowledge , but as tech field is rapidly grow it's also make me feel like some course are outdated. Such as modern java. This also affect us when applying for internship. Even we the curriculum state that we are Data science path, but even I try to apply for data sci I dont feel like I have enough practical experience.","[""For me the curriculum is useful as fundamental knowledge, but as the tech field is rapidly growing, it also makes me feel like some courses are outdated, such as modern Java. The outdated courses also affect us when applying for internships."", ""Even though the curriculum states that we are on a Data Science path, when I try to apply for data science roles, I don't feel like I have enough practical experience.""]",2,True,"[""For me the curriculum is useful as fundamental knowledge, but as the tech field is rapidly growing, it also makes me feel like some courses are outdated, such as modern Java. The outdated courses also affect us when applying for internships."", ""Even though the curriculum states that we are on a Data Science path, when I try to apply for data science roles, I don't feel like I have enough practical experience.""]",2,Yes,1
20,It's good,"[""It's good""]",1,False,"[""The course is good.""]",1,No,4
21,Good I think,"[""Good I think""]",1,False,"[""Good I think""]",1,No,1
22,"Everything is find, all the class/lab is good but maybe if it possible SIT can open the study room until night, not just until 7 pm","[""Everything is fine, all the classes/labs are good, but maybe if it's possible, SIT can open the study room until night, not just until 7 pm.""]",1,False,"[""Everything is fine, all the classes/labs are good, but maybe if it's possible, SIT can open the study room until night, not just until 7 pm.""]",1,No,0
23,Its quite clean and has most of the things we need,"[""Its quite clean and has most of the things we need""]",1,False,"[""The current system is quite clean and has most of the things students need.""]",1,No,4
24,Need more tree,"[""Need more tree""]",1,False,"[""I need more content related to tree data structures.""]",1,No,2
25,It’s all ok but some of the chair are uncomfortable,"[""It’s all ok but some of the chair are uncomfortable""]",1,False,"[""The overall environment is all okay, but some of the chair are uncomfortable.""]",1,No,1
26,"CB2 classroom tables are small and cramped, making it hard to take notes and focus on lectures.","[""CB2 classroom tables are small and cramped, making it hard to take notes and focus on lectures.""]",1,False,"[""CB2 classroom tables are small and cramped, making it hard to take notes and focus on lectures.""]",1,No,4
27,Wifi at CB2306 can’t even use like unstable,"[""Wifi at CB2306 is unstable and can't even be used.""]",1,False,"[""Wifi at CB2306 is unstable and can't even be used.""]",1,No,2
28,some class need to use laptop for learn programming but we have a class in cb2 building which the extension plug isnt enough for powered student's latop and devices,"[""Some classes need students to use laptops for learning programming, but in the CB2 building, the available extension plugs are not enough to power students' laptops and other devices during these classes.""]",1,False,"[""Some classes need students to use laptops for learning programming, but in the CB2 building, the available extension plugs are not enough to power students' laptops and other devices during these classes.""]",1,No,0
29,writing table inside classroom are small except CB2312,"[""writing table inside classroom are small except CB2312""]",1,False,"[""writing table inside classroom are small except CB2312""]",1,No,2
30,"The Engineering faculty has better and newer classrooms. Some departments even have dedicated rooms for LAN cable practice, while we don’t have anything like that","[""The Engineering faculty has better and newer classrooms. Some departments even have dedicated rooms for LAN cable practice, while we don’t have anything like that""]",1,False,"[""The Engineering faculty has better and newer classrooms compared to our department. Some other departments even have dedicated rooms for LAN cable practice, which our department lacks.""]",1,No,3
31,"We would like to have classes in the LX building, which has much better equipment and facilities compared to the CB building. Additionally, the co-working space in the faculty needs improvement in terms of air circulation and odor control. The equipment should also be updated to be more modern.","[""We would like to have classes in the LX building, which has much better equipment and facilities compared to the CB building."", ""The co-working space in the faculty needs improvement in terms of air circulation and odor control. The equipment in the co-working space should also be updated to be more modern.""]",2,True,"[""We would like to have classes in the LX building, which has much better equipment and facilities compared to the CB building."", ""Additionally, the co-working space in the faculty needs improvement in terms of air circulation and odor control. The equipment in the co-working space should also be updated to be more modern.""]",2,Yes,4
32,"I rated this a 4 because the venues aren't flexible enough. Most classes stay in the same room (e.g., CB2306) all semester, even when the lesson requires computer access. It would be better if we could move to the LX building when the course content specifically requires those facilities.","[""I rated this a 4 because the venues aren't flexible enough. Most classes stay in the same room (e.g., CB2306) all semester, even when the lesson requires computer access. It would be better if we could move to the LX building when the course content specifically requires those facilities.""]",1,False,"[""I rated this a 4 because the classroom venues aren't flexible enough. Most classes stay in the same room (e.g., CB2306) all semester, even when the lesson requires computer access. It would be better if students could move to the LX building when the course content specifically requires the facilities available there.""]",1,No,3
33,I wish we get to use LX more. Especially those classes that req programming,"[""I wish we get to use LX more. Especially those classes that req programming""]",1,False,"[""I wish students get to use LX more, especially in classes that req programming.""]",1,No,2
34,"Its generally okay, clean and well maintained.","[""Its generally okay, clean and well maintained.""]",1,False,"[""The facility is generally okay, clean and well maintained.""]",1,No,3
35,All programming courses should be held in LX not cb. Even if it’s only 1 class — it should be at LX. Period.,"[""All programming courses should be held in LX not cb. Even if it’s only 1 class — it should be at LX. Period.""]",1,False,"[""All programming courses should be held in LX, not cb. Even if it’s only 1 class, the programming class should be at LX. Period.""]",1,No,4
36,"The new table at CB is very comftable, very appreiciate that faculty improve this.","[""The new table at CB is very comftable, very appreiciate that faculty improve this.""]",1,False,"[""The new table at CB is very comftable, and I very much appreiciate that faculty improved the facilities.""]",1,No,3
37,The SIT staffs are good but sometimes they respond a bit slow,"[""The SIT staffs are good but sometimes they respond a bit slow.""]",1,False,"[""The SIT staffs are good but sometimes they respond a bit slow.""]",1,No,0
38,"We haven't commuicate a lot to SIT staff, so I don't have any feedback","[""We haven't commuicate a lot to SIT staff, so I don't have any feedback.""]",1,False,"[""We haven't commuicate a lot to SIT staff, so I don't have any feedback.""]",1,No,2
39,"Once again when contacting any staff faculty members of SIT, I will receive no responses on LINE and no further response or communication whatsoever on Teams making communication a very difficult issue especially regarding course information or emergency situations that require rapid communication.","[""Once again when contacting any staff faculty members of SIT, I will receive no responses on LINE and no further response or communication whatsoever on Teams making communication a very difficult issue especially regarding course information or emergency situations that require rapid communication.""]",1,False,"[""Once again when contacting any staff faculty members of SIT, I will receive no responses on LINE and no further response or communication whatsoever on Teams making communication a very difficult issue especially regarding course information or emergency situations that require rapid communication.""]",1,Yes,1
40,They always announce everything,"[""They always announce everything""]",1,False,"[""The university always announces everything.""]",1,,3
41,"During my internship, I inquired many questions to P' Nick, but my messages are left on read. She could have referred me to someone else if she was busy.","[""During my internship, I inquired many questions to P' Nick, but my messages are left on read. P' Nick could have referred me to someone else if P' Nick was busy.""]",1,False,"[""During my internship, I inquired many questions to P' Nick, but my messages are left on read. P' Nick could have referred me to someone else if P' Nick was busy.""]",1,No,4
42,"I would like to express a big thanks to PNick while dealing with many stuff related to transfer credit, study plan, course selection, add and drop and other academic stuff.","[""I would like to express a big thanks to PNick for assistance with many academic matters, including transfer credit, study plan, course selection, add and drop, and other academic stuff.""]",1,False,"[""I would like to express a big thanks to PNick for assistance with many academic matters, including transfer credit, study plan, course selection, add and drop, and other academic stuff.""]",1,No,1
43,"P’Nick replies slowly. Sometimes a message is left unanswered for a whole day, and I have to follow up again.","[""P’Nick replies slowly. Sometimes a message is left unanswered for a whole day, and I have to follow up again.""]",1,False,"[""P’Nick replies slowly. Sometimes a message is left unanswered for a whole day, and I have to follow up again.""]",1,No,3
