original_feedback_id,sub_point_number,total_sub_points,topic,sub_point_text,original_full_text,was_split,processing_method
14,2,4,Lack of Practical Application in Programming Courses,"While instructors in programming courses are skilled and knowledgeable, the courses themselves focus too heavily on fundamentals and theory, resulting in very limited practical application. This forces students to learn and adapt a lot on their own to be adequately prepared for internships.","Language and General Education Courses (LNG and GEN): These courses are not useful and waste a lot of time. Students with very high IELTS scores still have to take basic language classes, which doesn't make sense. Additionally, the grading standards are unclear and difficult to verify.
Programming Courses: The instructors are skilled and knowledgeable, which is good. However, the courses focus too much on fundamentals and theory. The practical application is very limited. Students have to learn and adapt a lot on their own to be ready for internships.
Need for More Specialized Elective Courses: The curriculum should offer more specialized track options. For example, UX/UI in course 105 could be a full elective course, but currently it only covers basic concepts that cannot be applied in real work. We would like to see courses such as Game Development with Unity, Advanced Power BI for Data Science
Other industry-relevant specialized topics
Courses 100/101 (Coursera ), 301, and 302: These courses waste time and do not measure any real CS skills or abilities. I don't understand the purpose of having them except to take time away from more necessary work.",TRUE,Gemini API
14,3,4,Need for More Specialized Elective Courses,"The CS curriculum should offer more specialized track options and elective courses. For instance, the UX/UI content currently covered in course 105 is too basic and cannot be applied in real work; it should be expanded into a full elective course. Students would like to see new specialized courses such as Game Development with Unity, Advanced Power BI for Data Science, and other industry-relevant specialized topics.","Language and General Education Courses (LNG and GEN): These courses are not useful and waste a lot of time. Students with very high IELTS scores still have to take basic language classes, which doesn't make sense. Additionally, the grading standards are unclear and difficult to verify.
Programming Courses: The instructors are skilled and knowledgeable, which is good. However, the courses focus too much on fundamentals and theory. The practical application is very limited. Students have to learn and adapt a lot on their own to be ready for internships.
Need for More Specialized Elective Courses: The curriculum should offer more specialized track options. For example, UX/UI in course 105 could be a full elective course, but currently it only covers basic concepts that cannot be applied in real work. We would like to see courses such as Game Development with Unity, Advanced Power BI for Data Science
Other industry-relevant specialized topics
Courses 100/101 (Coursera ), 301, and 302: These courses waste time and do not measure any real CS skills or abilities. I don't understand the purpose of having them except to take time away from more necessary work.",TRUE,Gemini API
14,4,4,"Ineffectiveness of Courses 100/101, 301, and 302","Courses 100/101 (Coursera), 301, and 302 are perceived as a waste of time because they do not measure any real computer science skills or abilities. Students do not understand the purpose of these courses, except that they take time away from more necessary academic work.","Language and General Education Courses (LNG and GEN): These courses are not useful and waste a lot of time. Students with very high IELTS scores still have to take basic language classes, which doesn't make sense. Additionally, the grading standards are unclear and difficult to verify.
Programming Courses: The instructors are skilled and knowledgeable, which is good. However, the courses focus too much on fundamentals and theory. The practical application is very limited. Students have to learn and adapt a lot on their own to be ready for internships.
Need for More Specialized Elective Courses: The curriculum should offer more specialized track options. For example, UX/UI in course 105 could be a full elective course, but currently it only covers basic concepts that cannot be applied in real work. We would like to see courses such as Game Development with Unity, Advanced Power BI for Data Science
Other industry-relevant specialized topics
Courses 100/101 (Coursera ), 301, and 302: These courses waste time and do not measure any real CS skills or abilities. I don't understand the purpose of having them except to take time away from more necessary work.",TRUE,Gemini API
15,1,3,CSC209 Data Structures Course Experience,"The CSC209 Data Structures course content and the instructor were excellent, with the instructor explaining concepts clearly using ample examples. Despite sessions occasionally running longer than scheduled and class times being flexible due to the instructor's responsibilities as the Department Dean, the course material remained highly practical and valuable.","Most of the courses were quite helpful. To name a few:
CSC209 Data Structures: While the sessions occasionally ran longer than scheduled, the content and the instructor were excellent. The instructor explained concepts clearly with ample examples. Although class times were sometimes flexible due to his responsibilities as the Department Dean, the material remained highly practical and valuable.
CSC105 Web Application Development: Some students felt this course only covered the basics, but I personally appreciated the approach. It encourages ""learning how to learn."" Instead of just following instructions, we were pushed to think for ourselves. This is essential for developing the skills needed to form original ideas and manage our own projects.
Overall, I think a score of 4 is appropriate, as the quality of the class is great but there is still room for improvement.",TRUE,Gemini API
15,2,3,CSC105 Web Application Development Pedagogical Approach,"While some students felt the CSC105 Web Application Development course only covered the basics, I personally appreciated its approach. The course encouraged 'learning how to learn' by pushing students to think for themselves rather than just following instructions. This approach is essential for developing the skills needed to form original ideas and manage personal projects.","Most of the courses were quite helpful. To name a few:
CSC209 Data Structures: While the sessions occasionally ran longer than scheduled, the content and the instructor were excellent. The instructor explained concepts clearly with ample examples. Although class times were sometimes flexible due to his responsibilities as the Department Dean, the material remained highly practical and valuable.
CSC105 Web Application Development: Some students felt this course only covered the basics, but I personally appreciated the approach. It encourages ""learning how to learn."" Instead of just following instructions, we were pushed to think for ourselves. This is essential for developing the skills needed to form original ideas and manage our own projects.
Overall, I think a score of 4 is appropriate, as the quality of the class is great but there is still room for improvement.",TRUE,Gemini API
15,3,3,Overall Course Quality Assessment,"Most of the courses were quite helpful. Overall, I believe a score of 4 is appropriate for the course quality, acknowledging that while the quality is great, there is still room for improvement.","Most of the courses were quite helpful. To name a few:
CSC209 Data Structures: While the sessions occasionally ran longer than scheduled, the content and the instructor were excellent. The instructor explained concepts clearly with ample examples. Although class times were sometimes flexible due to his responsibilities as the Department Dean, the material remained highly practical and valuable.
CSC105 Web Application Development: Some students felt this course only covered the basics, but I personally appreciated the approach. It encourages ""learning how to learn."" Instead of just following instructions, we were pushed to think for ourselves. This is essential for developing the skills needed to form original ideas and manage our own projects.
Overall, I think a score of 4 is appropriate, as the quality of the class is great but there is still room for improvement.",TRUE,Gemini API
16,1,2,Data Science Curriculum Practicality Concerns,"I feel like the current curriculum is too data science-oriented but not in a way that students can adapt the knowledge in real life. For example, the data science course is too theory-based.","I feel like the curriculum right now is too data sci oriented but not in a way that we can adapt it in real life.
For example, the data sci course is too theory based. Not to mention that the content is overlaping with data visualization, big data, data mining. Why don't just combine some together so we can have more knowledge on one particular field within one semester and adapt it in our work field?",TRUE,Gemini API
16,2,2,Overlapping Content and Course Consolidation Proposal,"The content in the data science course is overlapping with other courses like data visualization, big data, and data mining. I suggest combining some of these courses to allow students to gain more in-depth knowledge on one particular field within one semester and better adapt the learning in their work field.","I feel like the curriculum right now is too data sci oriented but not in a way that we can adapt it in real life.
For example, the data sci course is too theory based. Not to mention that the content is overlaping with data visualization, big data, data mining. Why don't just combine some together so we can have more knowledge on one particular field within one semester and adapt it in our work field?",TRUE,Gemini API
17,1,2,Course Adaptation and Project Focus,All courses should adapt and focus more on projects.,All courses should adapt and focus more on projects. Also internship duration of 2 months during the summer seems abit too little and also the timing is abit off. Like having the entire last semester of 4th year to be an internship seems like a better way.,TRUE,Gemini API
17,2,2,Internship Duration and Timing Improvement,"The current 2-month summer internship duration seems a bit too short, and its timing is a bit off. A better approach would be to dedicate the entire last semester of the 4th year to an internship.",All courses should adapt and focus more on projects. Also internship duration of 2 months during the summer seems abit too little and also the timing is abit off. Like having the entire last semester of 4th year to be an internship seems like a better way.,TRUE,Gemini API
18,1,4,English Course Relevance for International Students,"I got a really high English test score, so I really don’t understand why, as an international program student, I have to learn such basic English concepts at an elementary school grader level. The English courses are not useful and are a waste of my time and energy to attend.","I got really high English test score. I really don’t understand why, us as an international program students, have to learn such a basic English concept of an elementary school grader level? Not only it’s not useful it’s also waste of my time and energy to attend all those courses In Jarah course, I don’t understand why LINE is consistently used as the main communication channel for assignments, class materials, and important course details. LINE has limited message history accessibility and is not a professional or reliable platform for managing academic information.
Using LINE for quick reminders or minor announcements is acceptable. But relying on it for all course-related communication is excessive and problematic. The faculty already provides proper platforms such as Microsoft Teams and CSCMS, which are designed for structured communication, assignment posting, and long-term record keeping.
Because information is frequently shared only through LINE chats, important details are often missed or lost, leading to confusion among students. Assignments communicated verbally in class, through chat messages, or by asking students to take notes are subjective and lack clarity. As a result, many students are uncertain about task requirements, deadlines, and expectations.
Assignments and course materials should be consistently posted on Microsoft Teams or CSCMS in a clear, concrete, and centralized manner. This would significantly reduce misunderstandings and help students manage their work more effectively.",TRUE,Gemini API
18,2,4,Over-reliance on LINE for Academic Communication,"In the Jarah course, I don’t understand why LINE is consistently used as the main communication channel for assignments, class materials, and important course details. LINE has limited message history accessibility and is not a professional or reliable platform for managing academic information, especially when the faculty already provides proper platforms such as Microsoft Teams and CSCMS.","I got really high English test score. I really don’t understand why, us as an international program students, have to learn such a basic English concept of an elementary school grader level? Not only it’s not useful it’s also waste of my time and energy to attend all those courses In Jarah course, I don’t understand why LINE is consistently used as the main communication channel for assignments, class materials, and important course details. LINE has limited message history accessibility and is not a professional or reliable platform for managing academic information.
Using LINE for quick reminders or minor announcements is acceptable. But relying on it for all course-related communication is excessive and problematic. The faculty already provides proper platforms such as Microsoft Teams and CSCMS, which are designed for structured communication, assignment posting, and long-term record keeping.
Because information is frequently shared only through LINE chats, important details are often missed or lost, leading to confusion among students. Assignments communicated verbally in class, through chat messages, or by asking students to take notes are subjective and lack clarity. As a result, many students are uncertain about task requirements, deadlines, and expectations.
Assignments and course materials should be consistently posted on Microsoft Teams or CSCMS in a clear, concrete, and centralized manner. This would significantly reduce misunderstandings and help students manage their work more effectively.",TRUE,Gemini API
18,3,4,Negative Impact of Dispersed Communication,"Because information is frequently shared only through LINE chats, important details are often missed or lost, leading to confusion among students. Assignments communicated verbally in class, through chat messages, or by asking students to take notes are subjective and lack clarity, resulting in many students being uncertain about task requirements, deadlines, and expectations.","I got really high English test score. I really don’t understand why, us as an international program students, have to learn such a basic English concept of an elementary school grader level? Not only it’s not useful it’s also waste of my time and energy to attend all those courses In Jarah course, I don’t understand why LINE is consistently used as the main communication channel for assignments, class materials, and important course details. LINE has limited message history accessibility and is not a professional or reliable platform for managing academic information.
Using LINE for quick reminders or minor announcements is acceptable. But relying on it for all course-related communication is excessive and problematic. The faculty already provides proper platforms such as Microsoft Teams and CSCMS, which are designed for structured communication, assignment posting, and long-term record keeping.
Because information is frequently shared only through LINE chats, important details are often missed or lost, leading to confusion among students. Assignments communicated verbally in class, through chat messages, or by asking students to take notes are subjective and lack clarity. As a result, many students are uncertain about task requirements, deadlines, and expectations.
Assignments and course materials should be consistently posted on Microsoft Teams or CSCMS in a clear, concrete, and centralized manner. This would significantly reduce misunderstandings and help students manage their work more effectively.",TRUE,Gemini API
18,4,4,Recommendation for Centralized Academic Platforms,"Assignments and course materials should be consistently posted on Microsoft Teams or CSCMS in a clear, concrete, and centralized manner. This would significantly reduce misunderstandings and help students manage their work more effectively.","I got really high English test score. I really don’t understand why, us as an international program students, have to learn such a basic English concept of an elementary school grader level? Not only it’s not useful it’s also waste of my time and energy to attend all those courses In Jarah course, I don’t understand why LINE is consistently used as the main communication channel for assignments, class materials, and important course details. LINE has limited message history accessibility and is not a professional or reliable platform for managing academic information.
Using LINE for quick reminders or minor announcements is acceptable. But relying on it for all course-related communication is excessive and problematic. The faculty already provides proper platforms such as Microsoft Teams and CSCMS, which are designed for structured communication, assignment posting, and long-term record keeping.
Because information is frequently shared only through LINE chats, important details are often missed or lost, leading to confusion among students. Assignments communicated verbally in class, through chat messages, or by asking students to take notes are subjective and lack clarity. As a result, many students are uncertain about task requirements, deadlines, and expectations.
Assignments and course materials should be consistently posted on Microsoft Teams or CSCMS in a clear, concrete, and centralized manner. This would significantly reduce misunderstandings and help students manage their work more effectively.",TRUE,Gemini API
19,1,2,Curriculum Relevance and Outdated Courses,"The student finds the curriculum useful for fundamental knowledge, but as the tech field grows rapidly, some courses, such as modern Java, feel outdated. This outdatedness affects students when applying for internships.","For me the curriculum is useful as fundamental knowledge , but as tech field is rapidly grow it's also make me feel like some course are outdated. Such as modern java. This also affect us when applying for internship. Even we the curriculum state that we are Data science path, but even I try to apply for data sci I dont feel like I have enough practical experience.",TRUE,Gemini API
19,2,2,Data Science Path: Practical Experience Gap,"Even though the curriculum states students are on a Data Science path, when applying for data science roles, the student does not feel they have enough practical experience.","For me the curriculum is useful as fundamental knowledge , but as tech field is rapidly grow it's also make me feel like some course are outdated. Such as modern java. This also affect us when applying for internship. Even we the curriculum state that we are Data science path, but even I try to apply for data sci I dont feel like I have enough practical experience.",TRUE,Gemini API
31,1,2,LX Building Preference for Classes,Students would prefer to have classes in the LX building because it offers much better equipment and facilities compared to the CB building.,"We would like to have classes in the LX building, which has much better equipment and facilities compared to the CB building. Additionally, the co-working space in the faculty needs improvement in terms of air circulation and odor control. The equipment should also be updated to be more modern.",TRUE,Gemini API
31,2,2,Faculty Co-working Space Improvements,"The co-working space within the faculty requires improvements in terms of air circulation and odor control, and the equipment in the co-working space should also be updated to be more modern.","We would like to have classes in the LX building, which has much better equipment and facilities compared to the CB building. Additionally, the co-working space in the faculty needs improvement in terms of air circulation and odor control. The equipment should also be updated to be more modern.",TRUE,Gemini API
39,1,1,SIT Staff/Faculty Communication Difficulties,"Once again, when contacting staff and faculty members of SIT, I receive no responses on LINE and no further communication whatsoever on Teams. The lack of responses makes communication a very difficult issue, especially regarding course information or emergency situations that require rapid communication.","Once again when contacting any staff faculty members of SIT, I will receive no responses on LINE and no further response or communication whatsoever on Teams making communication a very difficult issue especially regarding course information or emergency situations that require rapid communication.",FALSE,Gemini API
44,1,3,P'Nick's Communication & System Improvement Suggestion,"Students understand that P'Nick has a heavy workload, but leaving students' messages on read is unacceptable, especially for urgent matters. This issue happens regularly and has caused problems for students many times. Students suggest creating a better communication system where they can submit requests and track their status more easily.","I understand that P'Nick has a heavy workload, but leaving students' messages on read is not acceptable, especially for urgent matters. This happens regularly and has caused problems for students many times. We suggest creating a better communication system where students can submit requests and track their status more easily.
P'Vichy told us that TETET was not required if we already submitted other English test scores. However, based on the SIT website, the policy has changed and TETET is now required for graduation. Many fourth-year students missed the exam because we believed our previous English scores were enough. P'DJ, as many students have shared the same concerns about his behavior
- Unequal treatment, Female students and Thai students receive better treatment and more attention, which makes other students uncomfortable. most importantly, the clear pattern of flirting with his students is completely unacceptable and must be stopped immediately.
- Students who are close to P'DJ get special treatment, such as being excused for late attendance or receiving other advantages.
- P'DJ's position is unclear. Sometimes acting like a senior student, sometimes like a professor. This creates tension during activities. The commanding and controlling behavior feels more like a dictator than a teacher. P'Jo has a similar position but never creates these problems or makes students feel uncomfortable. suggesting that P'DJ should receive training on professional conduct and learn to treat all students fairly and respectfully. The current situation affects the learning environment negatively.",TRUE,Gemini API
44,2,3,Conflicting Information on TETET English Requirement,"Students were initially informed by P'Vichy that the TETET exam was not required for graduation if they had already submitted other English test scores. However, the SIT website indicates that the TETET requirement policy has changed, and the TETET exam is now mandatory for graduation. This conflicting information led many fourth-year students to miss the exam, as they believed their previously submitted English scores were sufficient.","I understand that P'Nick has a heavy workload, but leaving students' messages on read is not acceptable, especially for urgent matters. This happens regularly and has caused problems for students many times. We suggest creating a better communication system where students can submit requests and track their status more easily.
P'Vichy told us that TETET was not required if we already submitted other English test scores. However, based on the SIT website, the policy has changed and TETET is now required for graduation. Many fourth-year students missed the exam because we believed our previous English scores were enough. P'DJ, as many students have shared the same concerns about his behavior
- Unequal treatment, Female students and Thai students receive better treatment and more attention, which makes other students uncomfortable. most importantly, the clear pattern of flirting with his students is completely unacceptable and must be stopped immediately.
- Students who are close to P'DJ get special treatment, such as being excused for late attendance or receiving other advantages.
- P'DJ's position is unclear. Sometimes acting like a senior student, sometimes like a professor. This creates tension during activities. The commanding and controlling behavior feels more like a dictator than a teacher. P'Jo has a similar position but never creates these problems or makes students feel uncomfortable. suggesting that P'DJ should receive training on professional conduct and learn to treat all students fairly and respectfully. The current situation affects the learning environment negatively.",TRUE,Gemini API
44,3,3,P'DJ's Unprofessional Conduct and Impact on Learning Environment,"Many students have shared concerns about P'DJ's behavior, which negatively affects the learning environment. This includes unequal treatment, where female and Thai students reportedly receive better treatment and more attention, making other students uncomfortable. There is also a clear pattern of P'DJ flirting with students, which is completely unacceptable and must be stopped. Additionally, students close to P'DJ receive special treatment, such as being excused for late attendance or gaining other advantages. P'DJ's professional position is unclear, as he sometimes acts like a senior student and other times like a professor, creating tension during activities. His commanding and controlling behavior feels more like a dictator than a teacher, unlike P'Jo who holds a similar position but does not create such problems. Students suggest that P'DJ should receive training on professional conduct to ensure he treats all students fairly and respectfully.","I understand that P'Nick has a heavy workload, but leaving students' messages on read is not acceptable, especially for urgent matters. This happens regularly and has caused problems for students many times. We suggest creating a better communication system where students can submit requests and track their status more easily.
P'Vichy told us that TETET was not required if we already submitted other English test scores. However, based on the SIT website, the policy has changed and TETET is now required for graduation. Many fourth-year students missed the exam because we believed our previous English scores were enough. P'DJ, as many students have shared the same concerns about his behavior
- Unequal treatment, Female students and Thai students receive better treatment and more attention, which makes other students uncomfortable. most importantly, the clear pattern of flirting with his students is completely unacceptable and must be stopped immediately.
- Students who are close to P'DJ get special treatment, such as being excused for late attendance or receiving other advantages.
- P'DJ's position is unclear. Sometimes acting like a senior student, sometimes like a professor. This creates tension during activities. The commanding and controlling behavior feels more like a dictator than a teacher. P'Jo has a similar position but never creates these problems or makes students feel uncomfortable. suggesting that P'DJ should receive training on professional conduct and learn to treat all students fairly and respectfully. The current situation affects the learning environment negatively.",TRUE,Gemini API
51,1,2,Positive Feedback on Current Activities,The activities offered are fun and pretty helpful.,"The activities are fun and pretty helpful, but like I said before maybe SIT can consider to open more for international student (like make more activities that international student/english friendly, open SAMOSIT for international student too) so that we have equal opportunity as Thai student",TRUE,Gemini API
